"pfil_gene","gene_name","contig","Entrez_id","pN_mc","pS_mc","pN_pipra","pS_pipra","pN_all","pS_all","dN_orig","dS_orig","pN","pS","dN","dS","pN.pS","dN.dS","alpha","NeutralityIndex","fisher.test.P","fisher.test.Padj","best_anno","dummy_name","GO"
"AAK1","AAK1","NW_021938824.1",103753843,7,10,2,3,0,0,5,11,9,13,5,11,0.692307692307692,0.454545454545455,-0.523076923076923,1.52307692307692,0.735177223942519,1,"AAK1","AAK1","GO:0032880;GO:2000369;GO:0006468;GO:0046777;GO:0045747;GO:0006897;GO:0050821;GO:0061024"
"AAMDC","AAMDC","NW_021940836.1",103758649,1,1,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA,"AAMDC","AAMDC","GO:0045600"
"AAMP","AAMP","NW_021939632.1",103756901,0,1,1,2,0,0,0,5,1,3,0,5,0.333333333333333,0,-Inf,Inf,0.444444444444444,1,"AAMP","AAMP","GO:0030154;GO:0014909;GO:0010595;GO:0001525"
"AANAT","AANAT","NW_021939798.1",103761316,0,6,0,3,0,0,1,4,0,9,1,4,0,0.25,1,0,0.357142857142857,1,"AANAT","AANAT","GO:0007623;GO:0010043;GO:0051592;GO:0071320;GO:0009648;GO:0030187;GO:0051412;GO:0046219;GO:0046688;GO:0009416;GO:0034695;GO:0032868;GO:0034097;GO:0006474"
"AAR2","AAR2","NW_021940906.1",103767418,0,1,0,0,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA,"AAR2","AAR2","GO:0000244"
"AARS","AARS1","NW_021938838.1",103753928,1,18,0,4,0,0,0,4,1,22,0,4,0.0454545454545455,0,-Inf,Inf,1,1,"AARS","AARS","unknown"
"AARS2","AARS2","NW_021940864.1",103765860,13,16,3,1,0,0,8,11,16,17,8,11,0.941176470588235,0.727272727272727,-0.294117647058824,1.29411764705882,0.775295530277971,1,"AARS2","AARS2","GO:0070143;GO:0006400;GO:0006419;GO:0106074"
"AASDH","AASDH","NW_021938789.1",103760896,13,4,3,3,0,0,7,10,16,7,7,10,2.28571428571429,0.7,-2.26530612244898,3.26530612244898,0.10815877056144,1,"AASDH","AASDH","GO:0043041;GO:0019482;GO:0006631"
"AASDHPPT","AASDHPPT","NW_021940208.1",103756722,2,3,2,0,0,0,3,7,4,3,3,7,1.33333333333333,0.428571428571429,-2.11111111111111,3.11111111111111,0.349958864664747,1,"AASDHPPT","AASDHPPT","GO:0015939;GO:0019878"
"AASS","AASS","NW_021938999.1",103760123,4,3,1,0,0,0,3,6,5,3,3,6,1.66666666666667,0.5,-2.33333333333333,3.33333333333333,0.346935417523653,1,"AASS","AASS","GO:0019878;GO:0006554;GO:0031061;GO:0000122;GO:0033512"
"AATF","AATF","NW_021940796.1",103761097,4,5,2,2,0,0,2,2,6,7,2,2,0.857142857142857,1,0.142857142857143,0.857142857142857,1,1,"AATF","AATF","GO:0007155;GO:0043066;GO:0007346;GO:2000378;GO:0042985;GO:0040016;GO:2001234;GO:0045944;GO:0042254;GO:0006974;GO:0032929;GO:0006357"
"AATK","LOC115307345","NW_021938648.1",115307345,3,7,1,2,0,0,8,4,4,9,8,4,0.444444444444444,2,0.777777777777778,0.222222222222222,0.115238543930158,1,"AATK","AATK","GO:0007420;GO:0038083;GO:0008150;GO:0006468"
"AATK","AATK","NW_021939798.1",103755868,1,6,1,0,0,0,1,2,2,6,1,2,0.333333333333333,0.5,0.333333333333333,0.666666666666667,1,1,"AATK","AATK","GO:0007420;GO:0038083;GO:0008150;GO:0006468"
"ABAT","ABAT","NW_021938949.1",103755754,0,6,0,0,0,0,0,5,0,6,0,5,0,0,NA,NA,NA,NA,"ABAT","ABAT","GO:0009450;GO:0042135;GO:0009448;GO:0048148"
"ABCA1","ABCA1","NW_021940917.1",103758408,8,21,2,2,0,0,2,27,10,23,2,27,0.434782608695652,0.0740740740740741,-4.8695652173913,5.8695652173913,0.0256077292079027,1,"ABCA1","ABCA1","GO:0010875;GO:0008203;GO:0007040;GO:0120009;GO:0033700;GO:0032367;GO:0009306;GO:0023061;GO:0019216;GO:0033344;GO:0034380;GO:0045332;GO:0032489;GO:0071806;GO:0140115;GO:0007186;GO:0034616;GO:0007189;GO:0010887;GO:0010745;GO:0071404;GO:0090107;GO:0090108;GO:0016197;GO:0055091;GO:0038027;GO:0042632;GO:0006869;GO:0043691;GO:0060155;GO:0099039"
"ABCA12","ABCA12","NW_021939471.1",103767520,30,30,10,12,0,0,13,25,40,42,13,25,0.952380952380952,0.52,-0.831501831501831,1.83150183150183,0.167861635760277,1,"ABCA12","ABCA12","GO:0061436;GO:0035627;GO:0072659;GO:0019725;GO:0098656;GO:0055088;GO:0048286;GO:0033700;GO:0032940;GO:0043129;GO:0045055;GO:0010875;GO:0031424;GO:0006869;GO:2000010;GO:0055085"
"ABCA13","ABCA13","NW_021939256.1",103756758,32,16,7,7,0,0,46,38,39,23,46,38,1.69565217391304,1.21052631578947,-0.400756143667297,1.4007561436673,0.396448626160953,1,"ABCA13","ABCA13","GO:0043312;GO:0055085;GO:0006869"
"ABCA2","ABCA2","NW_021940039.1",103759670,6,22,1,5,0,0,10,48,7,27,10,48,0.259259259259259,0.208333333333333,-0.244444444444444,1.24444444444444,0.782752477011491,1,"ABCA2","ABCA2","GO:0090155;GO:0150104;GO:0090370;GO:0150110;GO:1902993;GO:0052548;GO:0007626;GO:1901873;GO:0001573;GO:0042632;GO:0032383;GO:1904375;GO:0006629;GO:0006684;GO:0042986;GO:2000008;GO:0099040;GO:1902004;GO:0048545;GO:1905598;GO:0060049;GO:0046512;GO:0032289;GO:0071072;GO:0055085;GO:0032805;GO:1905601;GO:0032384;GO:0042493;GO:0090156;GO:0010872;GO:0006357;GO:0070723;GO:0045540;GO:0006687;GO:0006869"
"ABCA3","ABCA3","NW_021938949.1",103763331,12,19,0,3,0,1,6,18,12,23,6,18,0.521739130434783,0.333333333333333,-0.565217391304348,1.56521739130435,0.568475762138371,1,"ABCA3","ABCA3","GO:0043129;GO:0150172;GO:0046470;GO:1902995;GO:0042493;GO:0046471;GO:0006855;GO:0046890;GO:0055085;GO:0006869;GO:0015914;GO:0120009;GO:0042908;GO:0044267;GO:0010875;GO:0030324;GO:0070925;GO:0032464;GO:0046618;GO:0055091;GO:0051384"
"ABCA4","ABCA4","NW_021939546.1",103755943,15,5,1,2,0,0,12,28,16,7,12,28,2.28571428571429,0.428571428571429,-4.33333333333333,5.33333333333333,0.00360405079686386,1,"ABCA4","ABCA4","GO:0006869;GO:0045332;GO:0045494;GO:0007601;GO:0055085;GO:0006649;GO:0007603;GO:0001523"
"ABCA5","ABCA5","NW_021939798.1",103755818,7,24,0,4,0,4,0,5,7,32,0,5,0.21875,0,-Inf,Inf,0.574298716031558,1,"ABCA5","ABCA5","GO:0034375;GO:0055085;GO:0010745;GO:0043691;GO:0033344;GO:0006869"
"ABCA7","LOC115307400","NW_021938765.1",115307400,0,2,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,"ABCA1","ABCA1_pp_1","GO:0010875;GO:0008203;GO:0007040;GO:0120009;GO:0033700;GO:0032367;GO:0009306;GO:0023061;GO:0019216;GO:0033344;GO:0034380;GO:0045332;GO:0032489;GO:0071806;GO:0140115;GO:0007186;GO:0034616;GO:0007189;GO:0010887;GO:0010745;GO:0071404;GO:0090107;GO:0090108;GO:0016197;GO:0055091;GO:0038027;GO:0042632;GO:0006869;GO:0043691;GO:0060155;GO:0099039"
"ABCB10","ABCB10","NW_021940517.1",103757456,0,0,1,0,0,0,3,5,1,0,3,5,Inf,0.6,-Inf,Inf,0.444444444444444,1,"ABCB10","ABCB10","GO:0055085;GO:0006839"
"ABCB11","ABCB11","NW_021939632.1",103764139,3,3,0,2,0,0,5,26,3,5,5,26,0.6,0.192307692307692,-2.12,3.12,0.322985524223914,1,"ABCB1","ABCB1_ah_6","GO:0042493;GO:0150104;GO:0070633;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:1990962;GO:0055085;GO:0000086;GO:0045332;GO:1901529;GO:0072089;GO:0047484;GO:0046865"
"ABCB5","ABCB5","NW_021940535.1",103754546,8,6,2,0,0,0,8,11,10,6,8,11,1.66666666666667,0.727272727272727,-1.29166666666667,2.29166666666667,0.314529831858264,1,"ABCB1","ABCB1_ah_7","GO:0042493;GO:0150104;GO:0070633;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:1990962;GO:0055085;GO:0000086;GO:0045332;GO:1901529;GO:0072089;GO:0047484;GO:0046865"
"ABCB6","ABCB6","NW_021939632.1",103756811,2,4,0,1,0,0,4,13,2,5,4,13,0.4,0.307692307692308,-0.3,1.3,1,1,"ABCB6","ABCB6","GO:0006779;GO:0015886;GO:0043588;GO:0006879;GO:0055085;GO:0007420;GO:0035351"
"ABCB7","ABCB7","NW_021940704.1",103763056,5,5,0,2,0,0,4,4,5,7,4,4,0.714285714285714,1,0.285714285714286,0.714285714285714,1,1,"ABCB7","ABCB7","GO:0055085;GO:0015886;GO:0006879"
"ABCB8","ABCB8","NW_021938954.1",115307137,4,4,0,0,0,0,3,2,4,4,3,2,1,1.5,0.333333333333333,0.666666666666667,1,1,"ABCB8","ABCB8","GO:0055085;GO:0071805"
"ABCB9","ABCB9","NW_021940379.1",103760182,5,12,1,5,0,0,1,7,6,17,1,7,0.352941176470588,0.142857142857143,-1.47058823529412,2.47058823529412,0.641701795917591,1,"ABCB9","ABCB9","GO:0002474;GO:0019885;GO:0015833;GO:0055085;GO:0015031"
"ABCC10","ABCC10","NW_021940864.1",103765814,10,8,3,4,0,0,11,13,13,12,11,13,1.08333333333333,0.846153846153846,-0.28030303030303,1.28030303030303,0.777511985060767,1,"ABCC1","ABCC1_ah_3","GO:0034775;GO:0099039;GO:0009235;GO:0060326;GO:0150104;GO:0050729;GO:0045332;GO:0042493;GO:0055085;GO:0071716;GO:1905039;GO:1904646;GO:0015889;GO:0140115;GO:0070633;GO:0006691;GO:0042908"
"ABCC2","ABCC2","NW_021939122.1",103767005,0,12,1,5,0,0,17,15,1,17,17,15,0.0588235294117647,1.13333333333333,0.948096885813149,0.0519031141868512,0.000692052818783179,0.759381954782263,"ABCC2","ABCC2","GO:1990962;GO:0015694;GO:0032355;GO:0030644;GO:0031427;GO:0070633;GO:0071356;GO:0055085;GO:0043627;GO:0070327;GO:0071354;GO:0071222;GO:0046685;GO:0046618;GO:0033762;GO:0071549;GO:0035690;GO:0015723;GO:0150104;GO:0015721;GO:1904486;GO:0038183;GO:0071347;GO:1990961;GO:0015732;GO:0120188;GO:0015722;GO:0042178;GO:0071716;GO:0010629;GO:0097327;GO:0007565;GO:0009408;GO:0006954;GO:0006855;GO:1901086;GO:0006979"
"ABCC3","ABCC3","NW_021939798.1",103760443,4,12,3,7,0,0,5,20,7,19,5,20,0.368421052631579,0.25,-0.473684210526316,1.47368421052632,0.74316307182049,1,"ABCC3","ABCC3","GO:0015722;GO:0098656;GO:0055085;GO:0015721;GO:0150104;GO:0015779;GO:0006855;GO:0071716;GO:0042908"
"ABCC4","ABCC4","NW_021940208.1",103762482,4,4,1,4,0,0,3,5,5,8,3,5,0.625,0.6,-0.0416666666666667,1.04166666666667,1,1,"ABCC4","ABCC4","GO:0048661;GO:0042493;GO:0032310;GO:0002576;GO:0055085;GO:0098656;GO:0070730;GO:0038183;GO:0071716;GO:0042908;GO:0150104;GO:0060271;GO:0010243;GO:0014070;GO:0140115"
"ABCC5","ABCC5","NW_021940207.1",103758243,4,9,1,3,0,0,1,14,5,12,1,14,0.416666666666667,0.0714285714285714,-4.83333333333333,5.83333333333333,0.17794462983562,1,"ABCC5","ABCC5","GO:0055085;GO:0150104;GO:0015865;GO:0034775;GO:0030213;GO:0042908;GO:0140115"
"ABCC8","ABCC8","NW_021940291.1",103756070,5,8,0,1,0,0,5,17,5,9,5,17,0.555555555555556,0.294117647058824,-0.888888888888889,1.88888888888889,0.461948461253244,1,"ABCC8","ABCC8","GO:0071805;GO:0098662;GO:0055085;GO:0006813;GO:0050796"
"ABCC9","ABCC9","NW_021940729.1",103764002,1,21,1,2,0,0,0,19,2,23,0,19,0.0869565217391304,0,-Inf,Inf,0.497885835095138,1,"ABCC9","ABCC9","GO:0055085;GO:0071805;GO:1990573;GO:0061337;GO:0098662;GO:0033198;GO:1903779;GO:0051607;GO:0098655;GO:0150104"
"ABCD2","ABCD2","NW_021938999.1",103755629,0,2,0,2,0,0,1,5,0,4,1,5,0,0.2,1,0,1,1,"ABCD2","ABCD2","GO:0006635;GO:0042760;GO:0000038;GO:1900016;GO:1990535;GO:1903427;GO:0043217;GO:0032000;GO:0055085;GO:0015910;GO:2001280;GO:0007031"
"ABCD3","ABCD3","NW_021939546.1",103755902,0,1,0,0,0,0,0,4,0,1,0,4,0,0,NA,NA,NA,NA,"ABCD3","ABCD3","GO:0006635;GO:0007031;GO:0055085;GO:0042760;GO:0014070;GO:0015910;GO:0042493;GO:0006633"
"ABCD4","ABCD4","NW_021940750.1",103758764,5,10,0,0,0,0,0,6,5,10,0,6,0.5,0,-Inf,Inf,0.262125902992776,1,"ABCD4","ABCD4","GO:0009235;GO:1990830;GO:0007031;GO:0055085;GO:0015910;GO:0042760;GO:0006635"
"ABCE1","ABCE1","NW_021938789.1",103753664,0,4,0,1,0,0,0,2,0,5,0,2,0,0,NA,NA,NA,NA,"ABCE1","ABCE1","GO:0051607;GO:0060702;GO:0006415;GO:0016032;GO:0060338;GO:0006413;GO:0000054"
"ABCF2","LOC103762308","NW_021938954.1",103762308,4,3,0,0,0,0,0,9,4,3,0,9,1.33333333333333,0,-Inf,Inf,0.0192307692307692,1,"ABCF2",NA,NA
"ABCF3","ABCF3","NW_021940207.1",103758303,2,3,0,1,0,0,4,11,2,4,4,11,0.5,0.363636363636364,-0.375,1.375,1,1,"ABCF3","ABCF3","GO:0051607"
"ABCG1","ABCG1","NW_021940813.1",103764089,1,14,0,2,0,0,0,4,1,16,0,4,0.0625,0,-Inf,Inf,1,1,"ABCG1","ABCG1","GO:0045542;GO:0010887;GO:0032367;GO:0033344;GO:0010872;GO:0010745;GO:0120009;GO:0043691;GO:0034204;GO:0008203;GO:0010033;GO:1902004;GO:0042632;GO:0034374;GO:0055091;GO:0034375;GO:0042987;GO:0033700;GO:0034436;GO:0050714;GO:0055085;GO:1901998;GO:0033993"
"ABCG2","ABCG2","NW_021938789.1",103763494,3,9,0,0,0,0,13,8,3,9,13,8,0.333333333333333,1.625,0.794871794871795,0.205128205128205,0.0707291515532556,1,"ABCG2","ABCG2","GO:0055085;GO:0046415;GO:0032218;GO:0006879;GO:0150104;GO:1990962;GO:1990748;GO:0140115;GO:0097744;GO:0070633;GO:0015878;GO:0015747;GO:0015711"
"ABCG4","ABCG4","NW_021940545.1",103762239,1,15,0,1,0,0,0,7,1,16,0,7,0.0625,0,-Inf,Inf,1,1,"ABCG4","ABCG4","GO:1990830;GO:0055085;GO:0033344"
"ABCG5","ABCG5","NW_021940864.1",103765933,5,5,1,1,0,0,3,10,6,6,3,10,1,0.3,-2.33333333333333,3.33333333333333,0.226194642616772,1,"ABCG5","ABCG5","GO:0042632;GO:0070328;GO:0015918;GO:0038183;GO:0014850;GO:0045796;GO:0055085;GO:0120009;GO:0007588;GO:0010949;GO:0033344;GO:0010212;GO:0030299;GO:0042493;GO:0007584"
"ABCG8","ABCG8","NW_021940864.1",103765932,1,4,0,3,0,1,0,8,1,8,0,8,0.125,0,-Inf,Inf,1,1,"ABCG8","ABCG8","GO:0042632;GO:0033344;GO:0042493;GO:0038183;GO:0070328;GO:0030299;GO:0055085;GO:0045796;GO:0007584;GO:0007588;GO:0015914;GO:0120009;GO:0014850;GO:0015918;GO:0010949"
"ABHD10","ABHD10","NW_021940488.1",103754998,1,4,0,0,0,0,2,12,1,4,2,12,0.25,0.166666666666667,-0.5,1.5,1,1,"ABHD10","ABHD10","GO:0019391;GO:0052695;GO:0018215;GO:0002084"
"ABHD11","ABHD11","NW_021940460.1",103759493,2,1,0,0,0,0,0,1,2,1,0,1,2,0,-Inf,Inf,1,1,"ABHD11","ABHD11","GO:0008150"
"ABHD12","ABHD12","NW_021940822.1",103756905,2,4,0,0,0,0,1,5,2,4,1,5,0.5,0.2,-1.5,2.5,1,1,"ABHD12","ABHD12","GO:0007628;GO:0052651;GO:0046475;GO:0006660;GO:0009395;GO:0018215;GO:0050727;GO:0046464;GO:0010996;GO:0002084"
"ABHD12B","ABHD12B","NW_021938814.1",103759358,2,4,1,1,0,0,3,0,3,5,3,0,0.6,Inf,1,0,0.181818181818182,1,"ABHD12","ABHD12_pp_1","GO:0007628;GO:0052651;GO:0046475;GO:0006660;GO:0009395;GO:0018215;GO:0050727;GO:0046464;GO:0010996;GO:0002084"
"ABHD13","ABHD13","NW_021940208.1",103759749,0,2,0,1,0,0,1,3,0,3,1,3,0,0.333333333333333,1,0,1,1,"ABHD13","ABHD13","GO:0002084;GO:0018215"
"ABHD14A","ABHD14A","NW_021939063.1",103755312,3,7,1,3,0,0,1,2,4,10,1,2,0.4,0.5,0.2,0.8,1,1,"ABHD14A",NA,NA
"ABHD15","ABHD15","NW_021940460.1",108640406,1,2,0,1,0,0,2,0,1,3,2,0,0.333333333333333,Inf,1,0,0.4,1,"ABHD15","ABHD15","GO:0044255"
"ABHD17A","ABHD17A","NW_021938861.1",103755423,0,6,0,0,0,0,0,1,0,6,0,1,0,0,NA,NA,NA,NA,"ABHD17A","ABHD17A","GO:1905668;GO:0002084;GO:1902817;GO:0018215;GO:0072657;GO:0099175"
"ABHD17B","ABHD17B","NW_021940917.1",103764821,0,1,0,0,0,0,0,4,0,1,0,4,0,0,NA,NA,NA,NA,"ABHD17B","ABHD17B","GO:0002084;GO:0018215;GO:1902817;GO:1902950;GO:0099175;GO:1902473;GO:1905668"
"ABHD17C","ABHD17C","NW_021939189.1",103759076,1,4,0,1,0,0,1,3,1,5,1,3,0.2,0.333333333333333,0.4,0.6,1,1,"ABHD17C","ABHD17C","GO:0002084;GO:1905668;GO:0099175;GO:0018215;GO:1902817"
"ABHD18","ABHD18","NW_021940773.1",103758819,1,2,0,0,0,0,2,5,1,2,2,5,0.5,0.4,-0.25,1.25,1,1,"ABHD18",NA,NA
"ABHD2","ABHD2","NW_021939189.1",103759064,2,9,0,0,0,0,1,4,2,9,1,4,0.222222222222222,0.25,0.111111111111111,0.888888888888889,1,1,"ABHD2","ABHD2","GO:0046464;GO:0044255;GO:0030336;GO:0048240;GO:0007340;GO:0032570;GO:0043401;GO:0051793;GO:0051792;GO:0009611"
"ABHD3","ABHD3","NW_021939396.1",108641108,0,1,0,0,0,0,0,4,0,1,0,4,0,0,NA,NA,NA,NA,"ABHD3","ABHD3","GO:0046470;GO:0051793;GO:0006656;GO:0044255;GO:0051792"
"ABHD5","ABHD5","NW_021940535.1",103766508,2,6,0,0,0,0,0,2,2,6,0,2,0.333333333333333,0,-Inf,Inf,1,1,"ABHD5","ABHD5","GO:0010891;GO:0006654;GO:0051006;GO:0055088;GO:0010898;GO:0006631;GO:0030154"
"ABHD6","ABHD6","NW_021939063.1",103758990,0,5,0,3,0,0,0,6,0,8,0,6,0,0,NA,NA,NA,NA,"ABHD6","ABHD6","GO:0046464;GO:0120163;GO:2001311;GO:0046889;GO:0052651;GO:2000124;GO:0060292;GO:0009395;GO:0030336"
"ABHD8","ABHD8","NW_021939648.1",115307479,1,1,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA,"ABHD8","ABHD8","GO:0006654;GO:0055088"
"ABI1","ABI1","NW_021940535.1",103763322,1,5,0,0,0,0,0,1,1,5,0,1,0.2,0,-Inf,Inf,1,1,"ABI1","ABI1","GO:0008285;GO:0007169;GO:0016032;GO:0008154;GO:0018108;GO:0061098;GO:0038096;GO:0048010"
"ABI2","ABI2","NW_021939471.1",103764189,1,2,0,1,0,0,2,4,1,3,2,4,0.333333333333333,0.5,0.333333333333333,0.666666666666667,1,1,"ABI2","ABI2","GO:0016601;GO:2000601;GO:0061001;GO:0016477;GO:0007010;GO:0018108;GO:0070309;GO:0016032;GO:0010592;GO:0007399;GO:0008154"
"ABI3BP","ABI3BP","NW_021940122.1",103753809,3,4,1,2,0,0,7,8,4,6,7,8,0.666666666666667,0.875,0.238095238095238,0.761904761904762,1,1,"ABI3BP",NA,NA
"ABL1","ABL1","NW_021940039.1",103753663,6,20,0,5,0,0,2,8,6,25,2,8,0.24,0.25,0.04,0.96,1,1,"ABL1","ABL1","GO:0018108;GO:2000773;GO:1990051;GO:2000251;GO:0007173;GO:0009791;GO:0043065;GO:2000145;GO:1903351;GO:0090135;GO:0060563;GO:1905555;GO:2000352;GO:1900026;GO:1905244;GO:0051496;GO:0050852;GO:0001843;GO:2000249;GO:1900275;GO:0006298;GO:0046632;GO:1900272;GO:0032729;GO:1904528;GO:0071222;GO:0051353;GO:0010506;GO:0030155;GO:1904531;GO:2000096;GO:1902036;GO:0043123;GO:0043124;GO:0006914;GO:0008630;GO:1903053;GO:1901216;GO:0090050;GO:0072359;GO:0051149;GO:0051444;GO:0006464;GO:0032743;GO:0048668;GO:0050853;GO:0048536;GO:0034599;GO:0060020;GO:0002322;GO:0042981;GO:0071103;GO:0070373;GO:0048538;GO:0045931;GO:0007229;GO:0032489;GO:2001020;GO:0006979;GO:0050798;GO:0070301;GO:0043542;GO:0006974;GO:0030036;GO:0007204;GO:0006468;GO:0006975;GO:0045184;GO:0050731;GO:0051882;GO:0070374;GO:0032956;GO:0033690;GO:0001922;GO:0006897;GO:0042770;GO:0002333;GO:0006355;GO:0071901;GO:0001934;GO:0030100;GO:0038096;GO:0022408;GO:0051281;GO:0030035;GO:0051894;GO:0050885;GO:0021587;GO:0045580;GO:0010595;GO:0038083;GO:0045930;GO:0046777;GO:0045944;GO:0000278;GO:0031113;GO:0035791;GO:0034446;GO:0030516;GO:0038189;GO:0030514;GO:0007050"
"ABL2","ABL2","NW_021940565.1",103766847,3,17,0,5,0,0,1,7,3,22,1,7,0.136363636363636,0.142857142857143,0.0454545454545454,0.954545454545455,1,1,"ABL2","ABL2","GO:0007165;GO:0010506;GO:2000145;GO:0035640;GO:0007155;GO:0018108;GO:0035024;GO:0007204;GO:0030100;GO:0030155;GO:2000249;GO:0051353;GO:0010976;GO:0006464;GO:0010863;GO:0071300"
"ABLIM1","ABLIM1","NW_021939122.1",103759916,3,0,0,0,0,0,0,0,3,0,0,0,Inf,NA,NA,NA,NA,NA,"ABLIM1","ABLIM1","GO:0007010;GO:0009887;GO:0060271;GO:0007601;GO:0030032"
"ABLIM2","ABLIM2","NW_021938789.1",103755023,4,4,0,5,0,0,4,3,4,9,4,3,0.444444444444444,1.33333333333333,0.666666666666667,0.333333333333333,0.356346749226006,1,"ABLIM2","ABLIM2","GO:0006351;GO:0030032;GO:0030036"
"ABLIM3","ABLIM3","NW_021939882.1",103764964,2,13,1,2,0,0,1,8,3,15,1,8,0.2,0.125,-0.6,1.6,1,1,"ABLIM3","ABLIM3","GO:0060271;GO:0030036;GO:0006351;GO:1903955;GO:0030032;GO:0045944"
"ABR","ABR","NW_021940460.1",103763664,2,22,0,2,0,2,0,5,2,26,0,5,0.0769230769230769,0,-Inf,Inf,1,1,"ABR","ABR","GO:0007186;GO:0043065;GO:0051056;GO:0050804;GO:0007264;GO:0090630"
"ABRA","ABRA","NW_021939396.1",103757834,1,1,0,0,0,0,4,7,1,1,4,7,1,0.571428571428571,-0.75,1.75,1,1,"ABRA","ABRA","GO:0051091;GO:0006606;GO:0035025;GO:0045944"
"ABRACL","ABRACL","NW_021940604.1",103765398,0,1,0,1,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,"ABRACL","ABRACL","GO:0032970"
"ABRAXAS1","ABRAXAS1","NW_021938789.1",103763499,2,5,1,1,0,0,0,2,3,6,0,2,0.5,0,-Inf,Inf,1,1,"ABRAXAS1","ABRAXAS1","GO:0090307;GO:0006303;GO:0010212;GO:0006325;GO:0045739;GO:0008608;GO:0072425;GO:0016579;GO:0070536;GO:0006302"
"ABRAXAS2","ABRAXAS2","NW_021940541.1",103761900,3,1,0,0,0,0,0,3,3,1,0,3,3,0,-Inf,Inf,0.142857142857143,1,"ABRAXAS2","ABRAXAS2","GO:0070536;GO:0051301;GO:0000278;GO:0090307;GO:0007059;GO:0008608;GO:0002931;GO:0016579"
"ABTB1","ABTB1","NW_021939063.1",103759008,1,7,0,1,0,0,0,2,1,8,0,2,0.125,0,-Inf,Inf,1,1,"ABTB1","ABTB1","GO:0006414"
"ABTB2","ABTB2","NW_021940666.1",103756592,2,14,0,2,0,0,2,9,2,16,2,9,0.125,0.222222222222222,0.4375,0.5625,0.622079070354932,1,"ABTB2","ABTB2","GO:0097237"
