"contig","gene_name","Entrez_id","pN_mc","pS_mc","pN_pipra","pS_pipra","pN_all","pS_all","dN_orig","dS_orig","pN","pS","dN","dS","pN.pS","dN.dS","alpha","NeutralityIndex","fisher.test.P","fisher.test.Padj"
"NW_021938450.1","LOC103759505","103759505",0,7,0,3,0,0,0,1,0,10,0,1,0,0,NA,NA,NA,NA
"NW_021938459.1","LOC115307234","115307234",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938464.1","LOC115307239","115307239",0,6,0,1,0,0,0,1,0,7,0,1,0,0,NA,NA,NA,NA
"NW_021938480.1","NDUFS8","108643684",0,0,0,1,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA
"NW_021938481.1","UNC93B1","115307256",4,6,0,2,0,0,1,5,4,8,1,5,0.5,0.2,-1.5,2.5,0.61484593837535,1
"NW_021938482.1","LOC115307258","115307258",1,1,0,2,0,0,2,0,1,3,2,0,0.333333333333333,Inf,1,0,0.4,1
"NW_021938492.1","LOC103757760","103757760",1,9,0,0,0,0,0,0,1,9,0,0,0.111111111111111,NA,NA,NA,NA,NA
"NW_021938495.1","LOC103760798","103760798",2,4,0,0,0,0,0,0,2,4,0,0,0.5,NA,NA,NA,NA,NA
"NW_021938504.1","SFN","103754687",0,4,0,1,0,0,0,0,0,5,0,0,0,NA,NA,NA,NA,NA
"NW_021938505.1","LOC115307265","115307265",0,1,1,0,0,1,0,1,1,2,0,1,0.5,0,-Inf,Inf,1,1
"NW_021938510.1","LOC108638952","108638952",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938511.1","LOC103759738","103759738",0,1,0,1,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
"NW_021938545.1","LOC115307287","115307287",1,2,0,0,0,0,0,1,1,2,0,1,0.5,0,-Inf,Inf,1,1
"NW_021938547.1","LOC115307288","115307288",1,0,0,1,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA
"NW_021938562.1","LOC103765057","103765057",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938566.1","LOC115307292","115307292",0,1,0,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA
"NW_021938567.1","LOC115307293","115307293",3,1,0,0,0,0,4,4,3,1,4,4,3,1,-2,3,0.575757575757576,1
"NW_021938571.1","LOC108642735","108642735",1,0,0,0,0,0,0,0,1,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021938572.1","LOC108642350","108642350",1,0,1,0,0,0,0,0,2,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021938585.1","ATP5PO","103759834",0,2,0,1,0,0,0,1,0,3,0,1,0,0,NA,NA,NA,NA
"NW_021938614.1","LOC103766748","103766748",1,1,0,2,0,0,0,0,1,3,0,0,0.333333333333333,NA,NA,NA,NA,NA
"NW_021938628.1","LOC108642536","108642536",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938648.1","LOC115307345","115307345",1,6,1,2,0,0,8,4,2,8,8,4,0.25,2,0.875,0.125,0.042731262545504,1
"NW_021938681.1","LOC108643251","108643251",8,1,3,1,0,0,5,0,11,2,5,0,5.5,Inf,1,0,1,1
"NW_021938688.1","LOC108643777","108643777",1,0,0,0,0,0,0,0,1,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021938689.1","LOC115307358","115307358",0,3,0,0,0,0,0,1,0,3,0,1,0,0,NA,NA,NA,NA
"NW_021938690.1","LOC115307360","115307360",0,1,0,0,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA
"NW_021938692.1","SYCN","115307362",2,2,0,0,0,0,6,4,2,2,6,4,1,1.5,0.333333333333333,0.666666666666667,1,1
"NW_021938729.1","LOC115307392","115307392",4,9,5,12,0,4,0,0,9,25,0,0,0.36,NA,NA,NA,NA,NA
"NW_021938739.1","LOC108639924","108639924",0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1
"NW_021938744.1","TLX1","103767042",1,2,0,0,0,0,0,0,1,2,0,0,0.5,NA,NA,NA,NA,NA
"NW_021938754.1","LOC103761923","103761923",1,1,0,1,0,0,0,0,1,2,0,0,0.5,NA,NA,NA,NA,NA
"NW_021938755.1","LOC108643722","108643722",2,0,2,0,0,0,0,0,4,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021938765.1","LOC115307400","115307400",0,2,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
"NW_021938775.1","LOC103753636","103753636",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938788.1","RFC5","103755516",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021938789.1","ST3GAL5","103757324",2,2,0,0,0,0,1,1,2,2,1,1,1,1,0,1,1,1
"NW_021938789.1","FGFRL1","103757326",0,5,0,1,0,0,1,5,0,6,1,5,0,0.2,1,0,1,1
"NW_021938789.1","RNF212","103757325",2,3,0,0,0,0,3,4,2,3,3,4,0.666666666666667,0.75,0.111111111111111,0.888888888888889,1,1
"NW_021938789.1","LOC103765698","103765698",1,2,1,1,0,0,2,1,2,3,2,1,0.666666666666667,2,0.666666666666667,0.333333333333333,1,1
"NW_021938789.1","SPON2","103765273",1,5,0,0,0,0,0,4,1,5,0,4,0.2,0,-Inf,Inf,1,1
"NW_021938789.1","CTBP1","103755050",0,5,0,0,0,0,1,1,0,5,1,1,0,1,1,0,0.285714285714286,1
"NW_021938789.1","MAEA","103755049",0,3,0,0,0,0,0,3,0,3,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","UVSSA","103755082",3,9,1,0,0,0,6,6,4,9,6,6,0.444444444444444,1,0.555555555555556,0.444444444444444,0.428307982231794,1
"NW_021938789.1","FAM53A","103755048",1,4,0,2,0,0,2,4,1,6,2,4,0.166666666666667,0.5,0.666666666666667,0.333333333333333,0.559440559440559,1
"NW_021938789.1","LOC103755081","103755081",2,3,0,1,0,0,0,3,2,4,0,3,0.5,0,-Inf,Inf,0.5,1
"NW_021938789.1","LOC108644276","108644276",3,4,1,0,0,0,1,3,4,4,1,3,1,0.333333333333333,-2,3,0.575757575757576,1
"NW_021938789.1","TMEM129","103755046",0,2,0,1,0,0,0,2,0,3,0,2,0,0,NA,NA,NA,NA
"NW_021938789.1","TACC3","103755080",14,13,0,4,0,0,9,12,14,17,9,12,0.823529411764706,0.75,-0.0980392156862746,1.09803921568627,1,1
"NW_021938789.1","FGFR3","103755079",0,5,0,1,0,0,0,6,0,6,0,6,0,0,NA,NA,NA,NA
"NW_021938789.1","LOC103755078","103755078",3,8,0,2,0,1,9,3,3,11,9,3,0.272727272727273,3,0.909090909090909,0.0909090909090909,0.0162336788262216,1
"NW_021938789.1","LETM1","103755077",2,2,1,1,0,0,2,4,3,3,2,4,1,0.5,-1,2,1,1
"NW_021938789.1","NSD2","103755076",4,9,0,2,0,0,3,10,4,11,3,10,0.363636363636364,0.3,-0.212121212121212,1.21212121212121,1,1
"NW_021938789.1","LOC108640300","108640300",0,0,0,0,0,0,0,5,0,0,0,5,NA,0,NA,NA,NA,NA
"NW_021938789.1","LOC108639246","108639246",7,2,1,1,0,0,7,1,8,3,7,1,2.66666666666667,7,0.619047619047619,0.380952380952381,0.602683178534572,1
"NW_021938789.1","NELFA","103755075",0,2,0,2,0,0,0,0,0,4,0,0,0,NA,NA,NA,NA,NA
"NW_021938789.1","LOC103755045","103755045",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938789.1","LOC103755044","103755044",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021938789.1","NAT8L","103755043",1,2,0,0,0,0,0,2,1,2,0,2,0.5,0,-Inf,Inf,1,1
"NW_021938789.1","POLN","103755042",6,1,2,0,1,0,5,4,9,1,5,4,9,1.25,-6.2,7.2,0.140866873065015,1
"NW_021938789.1","HAUS3","103755041",6,8,1,0,0,0,19,17,7,8,19,17,0.875,1.11764705882353,0.217105263157895,0.782894736842105,0.764483511804504,1
"NW_021938789.1","MXD4","103755040",1,0,0,0,0,0,0,2,1,0,0,2,Inf,0,-Inf,Inf,0.333333333333333,1
"NW_021938789.1","ZFYVE28","103755039",4,7,0,0,0,0,3,6,4,7,3,6,0.571428571428571,0.5,-0.142857142857143,1.14285714285714,1,1
"NW_021938789.1","CFAP99","103755074",4,7,1,0,0,0,0,2,5,7,0,2,0.714285714285714,0,-Inf,Inf,0.505494505494505,1
"NW_021938789.1","RNF4","103755038",0,1,0,3,0,0,0,9,0,4,0,9,0,0,NA,NA,NA,NA
"NW_021938789.1","FAM193A","103755036",2,12,0,1,0,0,2,21,2,13,2,21,0.153846153846154,0.0952380952380952,-0.615384615384615,1.61538461538462,1,1
"NW_021938789.1","TNIP2","103755073",0,4,1,0,0,0,1,6,1,4,1,6,0.25,0.166666666666667,-0.5,1.5,1,1
"NW_021938789.1","SH3BP2","103755035",1,1,0,2,0,0,7,7,1,3,7,7,0.333333333333333,1,0.666666666666667,0.333333333333333,0.588235294117647,1
"NW_021938789.1","ADD1","103755034",3,4,0,0,0,0,0,19,3,4,0,19,0.75,0,-Inf,Inf,0.0134615384615385,1
"NW_021938789.1","MFSD10","103755033",3,2,0,1,0,0,2,3,3,3,2,3,1,0.666666666666667,-0.5,1.5,1,1
"NW_021938789.1","NOP14","103755032",8,10,1,0,0,0,5,4,9,10,5,4,0.9,1.25,0.28,0.72,1,1
"NW_021938789.1","GRK4","103755031",2,1,0,1,0,0,2,5,2,2,2,5,1,0.4,-1.5,2.5,0.575757575757576,1
"NW_021938789.1","HTT","103755072",7,30,1,5,0,1,5,22,8,36,5,22,0.222222222222222,0.227272727272727,0.0222222222222223,0.977777777777778,1,1
"NW_021938789.1","MSANTD1","103755030",0,0,0,0,0,0,0,5,0,0,0,5,NA,0,NA,NA,NA,NA
"NW_021938789.1","RGS12","103755028",1,9,0,1,0,0,3,12,1,10,3,12,0.1,0.25,0.6,0.4,0.61371237458194,1
"NW_021938789.1","HGFAC","103755071",1,2,1,3,0,0,2,7,2,5,2,7,0.4,0.285714285714286,-0.4,1.4,1,1
"NW_021938789.1","DOK7","103755027",1,5,0,1,0,0,3,8,1,6,3,8,0.166666666666667,0.375,0.555555555555556,0.444444444444444,1,1
"NW_021938789.1","LRPAP1","103755070",0,3,0,0,0,0,0,4,0,3,0,4,0,0,NA,NA,NA,NA
"NW_021938789.1","LOC103755069","103755069",3,0,0,0,0,0,2,3,3,0,2,3,Inf,0.666666666666667,-Inf,Inf,0.196428571428571,1
"NW_021938789.1","ADRA2C","103755068",5,2,1,2,0,0,0,2,6,4,0,2,1.5,0,-Inf,Inf,0.454545454545454,1
"NW_021938789.1","CPZ","103755026",2,4,1,1,0,0,1,11,3,5,1,11,0.6,0.0909090909090909,-5.6,6.6,0.25531475748194,1
"NW_021938789.1","GPR78","103755025",1,2,0,1,0,0,0,1,1,3,0,1,0.333333333333333,0,-Inf,Inf,1,1
"NW_021938789.1","TRMT44","103755066",5,5,2,0,0,0,8,9,7,5,8,9,1.4,0.888888888888889,-0.575,1.575,0.710381651279623,1
"NW_021938789.1","ACOX3","103755024",6,5,1,3,0,0,11,11,7,8,11,11,0.875,1,0.125,0.875,1,1
"NW_021938789.1","HTRA3","103755065",1,5,1,1,0,1,0,3,2,7,0,3,0.285714285714286,0,-Inf,Inf,1,1
"NW_021938789.1","SH3TC1","103755064",12,14,6,2,0,0,8,8,18,16,8,8,1.125,1,-0.125,1.125,1,1
"NW_021938789.1","ABLIM2","103755023",3,4,0,5,0,0,4,3,3,9,4,3,0.333333333333333,1.33333333333333,0.75,0.25,0.326089545129793,1
"NW_021938789.1","AFAP1","103755063",1,6,0,3,0,0,3,6,1,9,3,6,0.111111111111111,0.5,0.777777777777778,0.222222222222222,0.303405572755418,1
"NW_021938789.1","SORCS2","103755062",6,10,2,8,0,0,2,6,8,18,2,6,0.444444444444444,0.333333333333333,-0.333333333333333,1.33333333333333,1,1
"NW_021938789.1","GRPEL1","103755061",0,0,0,0,0,0,0,3,0,0,0,3,NA,0,NA,NA,NA,NA
"NW_021938789.1","TADA2B","103755060",1,1,0,1,0,0,0,3,1,2,0,3,0.5,0,-Inf,Inf,1,1
"NW_021938789.1","TBC1D14","103755059",3,5,0,0,0,0,2,8,3,5,2,8,0.6,0.25,-1.4,2.4,0.607843137254902,1
"NW_021938789.1","KIAA0232","103755058",2,4,1,4,0,0,0,9,3,8,0,9,0.375,0,-Inf,Inf,0.218421052631579,1
"NW_021938789.1","S100P","103755022",0,1,0,0,0,0,0,3,0,1,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","LOC108640946","108640946",4,3,3,0,0,0,3,3,7,3,3,3,2.33333333333333,1,-1.33333333333333,2.33333333333333,0.606643356643357,1
"NW_021938789.1","MAN2B2","103755021",8,7,3,2,0,0,8,11,11,9,8,11,1.22222222222222,0.727272727272727,-0.680555555555556,1.68055555555556,0.527253984167463,1
"NW_021938789.1","PPP2R2C","103755020",0,3,0,0,0,0,0,2,0,3,0,2,0,0,NA,NA,NA,NA
"NW_021938789.1","WFS1","103755019",3,5,1,2,0,0,4,7,4,7,4,7,0.571428571428571,0.571428571428571,0,1,1,1
"NW_021938789.1","JAKMIP1","103755017",1,9,0,3,0,0,1,6,1,12,1,6,0.0833333333333333,0.166666666666667,0.5,0.5,1,1
"NW_021938789.1","CRMP1","103755016",3,8,0,2,0,0,2,7,3,10,2,7,0.3,0.285714285714286,-0.05,1.05,1,1
"NW_021938789.1","EVC","103755015",8,7,2,2,0,0,4,7,10,9,4,7,1.11111111111111,0.571428571428571,-0.944444444444444,1.94444444444444,0.4664001332667,1
"NW_021938789.1","EVC2","103755055",8,7,8,6,0,0,9,8,16,13,9,8,1.23076923076923,1.125,-0.0940170940170941,1.09401709401709,1,1
"NW_021938789.1","STK32B","103755014",0,2,1,2,0,0,0,2,1,4,0,2,0.25,0,-Inf,Inf,1,1
"NW_021938789.1","CYTL1","103755013",0,2,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
"NW_021938789.1","MSX1","103755054",1,2,1,0,0,0,1,5,2,2,1,5,1,0.2,-4,5,0.5,1
"NW_021938789.1","STX18","103755053",0,2,0,1,0,0,1,1,0,3,1,1,0,1,1,0,0.4,1
"NW_021938789.1","NSG1","103755012",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938789.1","ZBTB49","103755011",3,5,0,2,0,0,6,14,3,7,6,14,0.428571428571429,0.428571428571429,0,1,1,1
"NW_021938789.1","LYAR","103755010",0,0,0,0,0,0,3,1,0,0,3,1,NA,3,NA,NA,NA,NA
"NW_021938789.1","TMEM128","103755009",0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1
"NW_021938789.1","OTOP1","103755052",2,3,0,2,0,0,1,2,2,5,1,2,0.4,0.5,0.2,0.8,1,1
"NW_021938789.1","DRD5","103755051",1,2,0,0,0,0,2,1,1,2,2,1,0.5,2,0.75,0.25,1,1
"NW_021938789.1","SLC2A9","103755008",0,3,0,1,0,1,0,3,0,5,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","WDR1","103767383",2,4,2,0,0,0,1,10,4,4,1,10,1,0.1,-9,10,0.110767113863089,1
"NW_021938789.1","ZNF518B","103767380",3,1,0,2,0,0,10,16,3,3,10,16,1,0.625,-0.6,1.6,0.666375337676784,1
"NW_021938789.1","CLNK","108641905",3,0,1,1,0,0,7,4,4,1,7,4,4,1.75,-1.28571428571429,2.28571428571429,1,1
"NW_021938789.1","HS3ST1","103767382",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021938789.1","RAB28","103767384",1,0,0,0,0,0,0,0,1,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021938789.1","BOD1L1","103767385",14,14,4,8,0,0,42,40,18,22,42,40,0.818181818181818,1.05,0.220779220779221,0.779220779220779,0.566257498802573,1
"NW_021938789.1","CPEB2","103763594",1,0,0,2,0,0,0,1,1,2,0,1,0.5,0,-Inf,Inf,1,1
"NW_021938789.1","C1QTNF7","103763575",2,1,1,1,0,0,0,4,3,2,0,4,1.5,0,-Inf,Inf,0.166666666666667,1
"NW_021938789.1","CC2D2A","103763574",4,7,4,5,0,0,6,16,8,12,6,16,0.666666666666667,0.375,-0.777777777777778,1.77777777777778,0.515422908189939,1
"NW_021938789.1","FBXL5","103763573",1,1,0,4,0,0,2,4,1,5,2,4,0.2,0.5,0.6,0.4,1,1
"NW_021938789.1","BST1","103763572",1,2,0,0,0,0,3,4,1,2,3,4,0.5,0.75,0.333333333333333,0.666666666666667,1,1
"NW_021938789.1","LOC103763571","103763571",1,3,0,0,0,0,5,1,1,3,5,1,0.333333333333333,5,0.933333333333333,0.0666666666666667,0.19047619047619,1
"NW_021938789.1","FGFBP1","103763570",0,0,0,0,0,0,0,7,0,0,0,7,NA,0,NA,NA,NA,NA
"NW_021938789.1","FGFBP2","103763569",0,4,1,1,0,0,2,2,1,5,2,2,0.2,1,0.8,0.2,0.5,1
"NW_021938789.1","PROM1","103763567",0,2,1,0,0,0,4,9,1,2,4,9,0.5,0.444444444444444,-0.125,1.125,1,1
"NW_021938789.1","TAPT1","103763566",1,2,1,2,0,0,1,7,2,4,1,7,0.5,0.142857142857143,-2.5,3.5,0.538461538461538,1
"NW_021938789.1","LDB2","103763565",1,1,0,0,0,0,0,1,1,1,0,1,1,0,-Inf,Inf,1,1
"NW_021938789.1","QDPR","103765672",3,1,3,0,0,0,2,2,6,1,2,2,6,1,-5,6,0.490909090909091,1
"NW_021938789.1","CLRN2","103763564",3,1,0,0,0,0,1,1,3,1,1,1,3,1,-2,3,1,1
"NW_021938789.1","LAP3","103763562",2,5,1,1,0,0,4,5,3,6,4,5,0.5,0.8,0.375,0.625,1,1
"NW_021938789.1","MED28","103763592",0,2,0,0,0,0,0,1,0,2,0,1,0,0,NA,NA,NA,NA
"NW_021938789.1","FAM184B","103763591",7,9,1,2,0,0,11,2,8,11,11,2,0.727272727272727,5.5,0.867768595041322,0.132231404958678,0.0277500420296764,1
"NW_021938789.1","NCAPG","103763590",5,5,1,0,1,0,10,14,7,5,10,14,1.4,0.714285714285714,-0.96,1.96,0.482625139043382,1
"NW_021938789.1","LCORL","103763561",5,8,2,2,0,0,10,21,7,10,10,21,0.7,0.476190476190476,-0.47,1.47,0.547368614038367,1
"NW_021938789.1","SLIT2","103763589",2,9,0,0,0,1,1,12,2,10,1,12,0.2,0.0833333333333333,-1.4,2.4,0.593043478260869,1
"NW_021938789.1","PACRGL","103763587",1,1,0,0,0,0,5,5,1,1,5,5,1,1,0,1,1,1
"NW_021938789.1","KCNIP4","103763560",0,4,0,0,0,0,0,1,0,4,0,1,0,0,NA,NA,NA,NA
"NW_021938789.1","ADGRA3","103763586",2,2,0,1,0,0,5,17,2,3,5,17,0.666666666666667,0.294117647058824,-1.26666666666667,2.26666666666667,0.579895949461167,1
"NW_021938789.1","PPARGC1A","103763559",3,3,0,0,0,0,3,0,3,3,3,0,1,Inf,1,0,0.464285714285714,1
"NW_021938789.1","DHX15","103763584",0,2,0,1,0,0,2,12,0,3,2,12,0,0.166666666666667,1,0,1,1
"NW_021938789.1","SOD3","103763558",0,1,0,0,0,0,6,1,0,1,6,1,0,6,1,0,0.25,1
"NW_021938789.1","CCDC149","103763583",3,0,1,1,0,0,4,7,4,1,4,7,4,0.571428571428571,-6,7,0.282051282051282,1
"NW_021938789.1","LGI2","103763582",0,2,0,1,0,0,1,2,0,3,1,2,0,0.5,1,0,1,1
"NW_021938789.1","SEPSECS","103763581",0,0,1,0,0,0,3,2,1,0,3,2,Inf,1.5,-Inf,Inf,1,1
"NW_021938789.1","PI4K2B","103763557",0,0,0,1,0,0,1,0,0,1,1,0,0,Inf,1,0,1,1
"NW_021938789.1","ZCCHC4","103763580",1,2,1,2,0,0,11,7,2,4,11,7,0.5,1.57142857142857,0.681818181818182,0.318181818181818,0.357224583197123,1
"NW_021938789.1","ANAPC4","103763556",2,3,1,4,0,0,3,7,3,7,3,7,0.428571428571429,0.428571428571429,0,1,1,1
"NW_021938789.1","SLC34A2","103763555",1,2,0,0,0,0,9,8,1,2,9,8,0.5,1.125,0.555555555555556,0.444444444444444,1,1
"NW_021938789.1","SEL1L3","103763554",5,4,0,2,0,0,8,13,5,6,8,13,0.833333333333333,0.615384615384615,-0.354166666666667,1.35416666666667,0.720770663055569,1
"NW_021938789.1","SMIM20","115307695",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021938789.1","RBPJ","103763552",0,4,0,1,0,0,0,3,0,5,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","CCKAR","103763550",0,2,1,1,0,0,1,3,1,3,1,3,0.333333333333333,0.333333333333333,0,1,1,1
"NW_021938789.1","TBC1D19","103765707",0,2,0,1,0,0,0,3,0,3,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","STIM2","103763578",0,1,0,0,0,0,0,4,0,1,0,4,0,0,NA,NA,NA,NA
"NW_021938789.1","PCDH7","103763576",3,2,0,4,0,0,1,12,3,6,1,12,0.5,0.0833333333333333,-5,6,0.264251537935748,1
"NW_021938789.1","ARAP2","103763506",7,8,4,2,0,0,14,21,11,10,14,21,1.1,0.666666666666667,-0.65,1.65,0.414777854378795,1
"NW_021938789.1","DTHD1","103763507",14,4,4,1,0,0,10,10,18,5,10,10,3.6,1,-2.6,3.6,0.064166554220102,1
"NW_021938789.1","NWD2","103760902",3,9,0,4,0,0,5,18,3,13,5,18,0.230769230769231,0.277777777777778,0.169230769230769,0.830769230769231,1,1
"NW_021938789.1","CUNH4orf19","103760903",1,1,0,0,0,0,5,4,1,1,5,4,1,1.25,0.2,0.8,1,1
"NW_021938789.1","RELL1","103760904",0,1,0,1,0,0,2,2,0,2,2,2,0,1,1,0,0.466666666666667,1
"NW_021938789.1","PGM2","103760859",0,2,0,0,0,0,2,3,0,2,2,3,0,0.666666666666667,1,0,1,1
